text,true_emotion,predicted_emotion
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,joy
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",fear,sadness
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,anger
Rooney shocking attempted cross,fear,sadness
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,fear,joy
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,anger
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
Southend players always haunt Man U,fear,anger
I don't want speak front to him #afraid #intimidate #nopanicattack,fear,fear
Not the best horror ever but I like that the uncertainty,fear,fear
Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,joy,joy
@harrietemmett great minds think alike. ,joy,joy
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,sadness
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",joy,joy
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,sadness
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,fear
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,sadness
My life went from happy to unhappy..,sadness,sadness
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz ,sadness,sadness
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,sadness
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness
@trashcami this cured my depression,sadness,joy
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
Season 3 and Charlie is still a prick! #lost,sadness,anger
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,sadness
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany ,sadness,anger
Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
This world has some serious issues we should all go to therapy,sadness,sadness
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
